Summary;Issue Type;Status;Resolution;Created;Updated;Resolved;Due date;Custom field (Number of retests);Custom field (Number of rework-loops);Custom field (Test Level);Status Category
[Approval] SDP_SysTimer: SWARS & SWAS;Test Orders;Completed (Failed);Done;30.11.2023 09:08;30.11.2023 15:52;30.11.2023 15:52;05.12.2023 00:00;0;0;Approval;Done
[Approval] HAL_SysTick;Test Orders;Completed (Passed);Done;29.11.2023 08:34;29.11.2023 14:11;29.11.2023 14:11;05.12.2023 00:00;0;0;Approval;Done
[Software Integration Test] HAL_SysTick;Test Orders;Completed (Passed);Done;29.11.2023 08:31;30.11.2023 16:12;30.11.2023 13:46;05.12.2023 00:00;0;0;Software Integration Tests;Done
[Approval] SDP-StateMachine;Test Orders;Completed (Failed);Done;28.11.2023 08:58;29.11.2023 08:14;29.11.2023 08:14;04.12.2023 00:00;0;0;Approval;Done
[Unit Test] SDP-StateMachine;Test Orders;In Progress / Retest;;28.11.2023 08:58;30.11.2023 16:10;;04.12.2023 00:00;0;0;Unit Test;In Progress
[Software Integration Tests] SDP-StateMachine;Test Orders;Check Test-Entry-Conditions;;28.11.2023 08:58;01.12.2023 08:05;;04.12.2023 00:00;0;0;Software Integration Tests;In Progress
[Unit Test] HAL_SysTick;Test Orders;Completed (Passed);Done;28.11.2023 08:33;30.11.2023 16:11;30.11.2023 13:43;05.12.2023 00:00;0;10;Unit Test;Done
[Software Integration Tests] HAL_LED;Test Orders;Completed (Passed);Done;23.11.2023 10:10;27.11.2023 14:09;23.11.2023 12:30;27.11.2023 00:00;0;;Software Integration Tests;Done
[Unit Test] HAL_LED;Test Orders;Completed (Passed);Done;23.11.2023 10:05;30.11.2023 16:13;27.11.2023 17:11;27.11.2023 00:00;0;;Unit Test;Done
[Software Integration Tests] HAL_MCU_Config;Test Orders;Completed (Failed);Done;23.11.2023 08:24;30.11.2023 16:15;30.11.2023 14:54;28.11.2023 00:00;0;;Software Integration Tests;Done
[Unit Test] HAL_MCU_Config;Test Orders;Check Test-Entry-Conditions;;23.11.2023 05:21;01.12.2023 08:10;;28.11.2023 00:00;0;;Unit Test;In Progress
HAL_DEBUG (SWAS-SDP);Test Orders;Completed (Passed);Done;21.11.2023 17:17;23.11.2023 16:03;22.11.2023 08:28;;;;Approval;Done
[Unit Test] HAL_Debug;Test Orders;Completed (Passed);Done;21.11.2023 16:13;30.11.2023 16:13;27.11.2023 10:32;28.11.2023 00:00;0;10;Unit Test;Done
[Software Integration Tests] HAL_Debug;Test Orders;Completed (Passed);Done;21.11.2023 16:13;27.11.2023 14:09;23.11.2023 17:27;28.11.2023 00:00;10;;Software Integration Tests;Done
SWRS-SDP / SWAS-SDP;Test Orders;Completed (Passed);Done;21.11.2023 11:40;23.11.2023 17:39;22.11.2023 10:15;22.11.2023 00:00;0;;Approval;Done
